target_code,tag,alpha,commanded_cash,commanded_risky_hhi
0,to_high_cash,0.0,0.189,0.035
0,to_high_cash,0.1,0.199,0.035
0,to_high_cash,0.2,0.21,0.035
0,to_high_cash,0.3,0.221,0.035
0,to_high_cash,0.4,0.232,0.035
0,to_high_cash,0.5,0.244,0.035
0,to_high_cash,0.6,0.256,0.035
0,to_high_cash,0.7,0.269,0.035
0,to_high_cash,0.8,0.282,0.035
0,to_high_cash,0.9,0.295,0.035
0,to_high_cash,1.0,0.309,0.035
6,to_low_cash,0.0,0.189,0.035
6,to_low_cash,0.1,0.185,0.035
6,to_low_cash,0.2,0.181,0.035
6,to_low_cash,0.3,0.177,0.035
6,to_low_cash,0.4,0.173,0.035
6,to_low_cash,0.5,0.169,0.035
6,to_low_cash,0.6,0.165,0.035
6,to_low_cash,0.7,0.162,0.035
6,to_low_cash,0.8,0.158,0.035
6,to_low_cash,0.9,0.155,0.035
6,to_low_cash,1.0,0.151,0.035
