rep,method,k,k_used,clustered_frac,silhouette,davies_bouldin,calinski_harabasz
behavior+trig,hdbscan_mcs8,2,2,0.979,0.534,0.64,56.7
behavior+trig,hdbscan_mcs12,2,2,0.522,0.415,0.839,89.9
behavior,hdbscan_mcs12,2,2,0.561,0.408,0.847,90.9
behavior,hdbscan_mcs8,2,2,0.696,0.37,0.94,96.7
behavior+trig,gmm,3,3,1.0,0.336,1.573,44.0
behavior+trig,gmm,2,2,1.0,0.307,2.349,25.9
latent_pca8,kmeans,8,8,1.0,0.285,1.324,44.0
behavior+trig,kmeans,8,8,1.0,0.261,1.106,91.3
behavior,kmeans,2,2,1.0,0.26,1.474,118.0
behavior+trig,ward,8,8,1.0,0.26,1.113,86.8
latent_pca8,ward,8,8,1.0,0.258,1.406,38.6
behavior+trig,kmeans,7,7,1.0,0.258,1.092,89.4
behavior+trig,ward,5,5,1.0,0.257,1.045,77.6
behavior+trig,gmm,8,8,1.0,0.256,1.101,84.1
behavior+trig,kmeans,6,6,1.0,0.248,1.08,86.6
behavior,kmeans,4,4,1.0,0.246,1.413,90.9
behavior+trig,ward,7,7,1.0,0.246,1.117,85.4
behavior+trig,kmeans,4,4,1.0,0.246,1.11,80.8
behavior,ward,6,6,1.0,0.245,1.233,76.8
behavior,ward,5,5,1.0,0.244,1.274,80.5
latent_pca8,kmeans,7,7,1.0,0.239,1.467,39.5
behavior,kmeans,6,6,1.0,0.236,1.332,84.0
behavior,ward,7,7,1.0,0.235,1.242,73.2
latent_pca8,gmm,8,8,1.0,0.235,1.415,38.3
behavior,ward,4,4,1.0,0.235,1.428,87.8
behavior+trig,ward,4,4,1.0,0.234,1.173,75.7
behavior,kmeans,5,5,1.0,0.233,1.384,89.7
behavior,kmeans,3,3,1.0,0.232,1.495,98.3
behavior+trig,kmeans,5,5,1.0,0.232,1.192,81.7
latent_pca8,ward,7,7,1.0,0.231,1.552,36.5
behavior+trig,kmeans,3,3,1.0,0.23,1.319,72.7
latent_pca8,gmm,7,7,1.0,0.229,1.552,38.5
behavior,kmeans,7,7,1.0,0.229,1.375,80.9
behavior+trig,ward,6,6,1.0,0.226,1.09,80.3
