date,code_id,code_index,selected_prob,top1_prob,top2_prob,probability_strength,margin_strength,entropy_strength,confidence_strength,dist_to_centroid
2022-01-03,8,5,0.1788,0.1788,0.1443,0.1788,0.0345,0.0454,1.0,7.5455
2022-01-04,8,5,0.1788,0.1788,0.1443,0.1788,0.0345,0.0454,1.0,7.5455
2022-01-05,8,5,0.1788,0.1788,0.1443,0.1788,0.0345,0.0454,1.0,7.5455
2022-01-06,8,5,0.1788,0.1788,0.1443,0.1788,0.0345,0.0454,1.0,7.5455
2022-01-07,8,5,0.1788,0.1788,0.1443,0.1788,0.0345,0.0454,1.0,7.5455
2022-01-10,4,1,0.2207,0.2207,0.1299,0.2207,0.0908,0.0496,1.0,6.6184
2022-01-11,4,1,0.2207,0.2207,0.1299,0.2207,0.0908,0.0496,1.0,6.6184
2022-01-12,4,1,0.2207,0.2207,0.1299,0.2207,0.0908,0.0496,1.0,6.6184
2022-01-13,4,1,0.2207,0.2207,0.1299,0.2207,0.0908,0.0496,1.0,6.6184
2022-01-14,4,1,0.2207,0.2207,0.1299,0.2207,0.0908,0.0496,1.0,6.6184
2022-01-18,4,1,0.2342,0.2342,0.1408,0.2342,0.0935,0.0455,1.0,7.8371
2022-01-19,4,1,0.2342,0.2342,0.1408,0.2342,0.0935,0.0455,1.0,7.8371
2022-01-20,4,1,0.2342,0.2342,0.1408,0.2342,0.0935,0.0455,1.0,7.8371
2022-01-21,4,1,0.2342,0.2342,0.1408,0.2342,0.0935,0.0455,1.0,7.8371
2022-01-24,0,0,0.2427,0.2427,0.1548,0.2427,0.0879,0.0604,1.0,9.0084
2022-01-25,0,0,0.1785,0.1785,0.1571,0.1785,0.0214,0.0392,1.0,8.9091
2022-01-26,0,0,0.2066,0.2066,0.1223,0.2066,0.0843,0.0344,1.0,4.6643
2022-01-27,0,0,0.2066,0.2066,0.1223,0.2066,0.0843,0.0344,1.0,4.6643
2022-01-28,0,0,0.2066,0.2066,0.1223,0.2066,0.0843,0.0344,1.0,4.6643
2022-01-31,0,0,0.2066,0.2066,0.1223,0.2066,0.0843,0.0344,1.0,4.6643
2022-02-01,0,0,0.2066,0.2066,0.1223,0.2066,0.0843,0.0344,1.0,4.6643
2022-02-02,2,6,0.2689,0.2689,0.1167,0.2689,0.1523,0.0603,1.0,6.1828
2022-02-03,2,6,0.2689,0.2689,0.1167,0.2689,0.1523,0.0603,1.0,6.1828
2022-02-04,2,6,0.2689,0.2689,0.1167,0.2689,0.1523,0.0603,1.0,6.1828
2022-02-07,2,6,0.2689,0.2689,0.1167,0.2689,0.1523,0.0603,1.0,6.1828
2022-02-08,2,6,0.2689,0.2689,0.1167,0.2689,0.1523,0.0603,1.0,6.1828
2022-02-09,2,6,0.2012,0.2012,0.1326,0.2012,0.0686,0.04,1.0,5.514
2022-02-10,2,6,0.2012,0.2012,0.1326,0.2012,0.0686,0.04,1.0,5.514
2022-02-11,2,6,0.2012,0.2012,0.1326,0.2012,0.0686,0.04,1.0,5.514
2022-02-14,2,6,0.2012,0.2012,0.1326,0.2012,0.0686,0.04,1.0,5.514
2022-02-15,2,6,0.2012,0.2012,0.1326,0.2012,0.0686,0.04,1.0,5.514
2022-02-16,4,1,0.1736,0.1736,0.1401,0.1736,0.0335,0.034,1.0,5.909
2022-02-17,4,1,0.1736,0.1736,0.1401,0.1736,0.0335,0.034,1.0,5.909
2022-02-18,4,1,0.1736,0.1736,0.1401,0.1736,0.0335,0.034,1.0,5.909
2022-02-22,4,1,0.1736,0.1736,0.1401,0.1736,0.0335,0.034,1.0,5.909
2022-02-23,4,1,0.1736,0.1736,0.1401,0.1736,0.0335,0.034,1.0,5.909
2022-02-24,0,0,0.2181,0.2181,0.1491,0.2181,0.069,0.0509,1.0,6.8111
2022-02-25,0,0,0.2181,0.2181,0.1491,0.2181,0.069,0.0509,1.0,6.8111
2022-02-28,0,0,0.2181,0.2181,0.1491,0.2181,0.069,0.0509,1.0,6.8111
2022-03-01,0,0,0.2181,0.2181,0.1491,0.2181,0.069,0.0509,1.0,6.8111
2022-03-02,0,0,0.2181,0.2181,0.1491,0.2181,0.069,0.0509,1.0,6.8111
2022-03-03,0,0,0.1658,0.1658,0.1314,0.1658,0.0344,0.0278,1.0,7.4545
2022-03-04,0,0,0.1658,0.1658,0.1314,0.1658,0.0344,0.0278,1.0,7.4545
2022-03-07,0,0,0.1658,0.1658,0.1314,0.1658,0.0344,0.0278,1.0,7.4545
2022-03-08,0,0,0.1658,0.1658,0.1314,0.1658,0.0344,0.0278,1.0,7.4545
