latent,target,insample_r2,cv_r2_shuffled,cv_r2_block,y_std
final_64,cash_target,0.88,0.82,-1.4,0.07988
final_64,q_target,0.88,0.82,-1.4,0.07988
final_64,turnover_l1,0.546,0.323,-0.397,0.01037
final_64,stock_turnover_l1,0.542,0.314,-0.427,0.0054
final_64,drawdown,0.882,0.812,-0.368,0.02742
final_64,concentration,0.956,0.91,-0.497,0.28686
final_64,net_return,0.146,-0.296,-0.457,0.00684
final_64,gross_return,0.146,-0.296,-0.457,0.00684
final_64,risk_stress,0.526,0.27,-0.405,0.17272
final_64,recovery_score,0.589,0.367,-0.266,0.19962
final_64,confidence_derisk,0.665,0.457,-1.253,0.16794
final_64,confidence_rerisk,0.646,0.473,-0.193,0.15364
penultimate_128,cash_target,0.992,0.945,-0.762,0.07988
penultimate_128,q_target,0.992,0.945,-0.762,0.07988
penultimate_128,turnover_l1,0.602,0.326,-0.085,0.01037
penultimate_128,stock_turnover_l1,0.599,0.321,-0.121,0.0054
penultimate_128,drawdown,0.952,0.918,0.122,0.02742
penultimate_128,concentration,0.996,0.987,0.005,0.28686
penultimate_128,net_return,0.183,-0.534,-0.461,0.00684
penultimate_128,gross_return,0.184,-0.534,-0.461,0.00684
penultimate_128,risk_stress,0.567,0.244,-0.207,0.17272
penultimate_128,recovery_score,0.633,0.347,-0.224,0.19962
penultimate_128,confidence_derisk,0.741,0.538,-0.564,0.16794
penultimate_128,confidence_rerisk,0.693,0.459,-0.443,0.15364
